effective_date,ticker,universe,source_pdf
2021-03-31,AARTIDRUGS.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,AARTIIND.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,ABBOTINDIA.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,ABCAPITAL.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,ABFRL.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,ACC.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,ADANIENT.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,ADANIGREEN.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,ADANIPORTS.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,ADANITRANS.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,AEGISCHEM.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,AFFLE.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,AJANTPHARM.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,ALKEM.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,ALKYLAMINE.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,ALOKINDS.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,AMARAJABAT.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,AMBER.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,AMBUJACEM.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,APLAPOLLO.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,APLLTD.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,APOLLOHOSP.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,APOLLOTYRE.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,ASHOKLEY.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,ASIANPAINT.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,ATGL.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,AUBANK.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,AUROPHARMA.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,AVANTIFEED.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,AXISBANK.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,BAJAJ-AUTO.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,BAJAJELEC.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,BAJAJFINSV.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,BAJAJHLDNG.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,BAJFINANCE.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,BALKRISIND.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,BALRAMCHIN.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,BANDHANBNK.NS,NIFTY_100,NIFTY_100_Mar2021.pdf
2021-03-31,BANKBARODA.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,BANKINDIA.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,BASF.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
2021-03-31,BATAINDIA.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,BBTC.NS,NIFTY_MIDCAP_100,NIFTY_Midcap_100_Mar2021.pdf
2021-03-31,BDL.NS,NIFTY_SMALLCAP_100,NIFTY_Smallcap_100_Mar2021.pdf
